+train,test
-206.5869101007835,-214.57486562169692
-256.8921640404801,-231.0684957113429
-202.220770732041,-197.4693973613338
-258.67794267377366,-179.1962380403906
-229.38072101085854,-199.98916638217233
-193.56609428447683,-248.1021743677905
-203.4005238932235,-188.47243311781128
-211.61752162202995,-216.9423403156863
-242.872502501518,-211.76662240545556
-203.9252541050629,-260.937933798894
-237.9598321885798,-211.12796935989635
-208.75177674263367,-270.18783448123173
-249.81570839504298,-238.93336748774772
-226.35290412974697,-219.60652527988506
-201.97210551349355,-232.7909204394666
-220.38220327463483,-244.34662165182596
-215.4720380366345,-206.25398081654632
-218.8035617658995,-225.24126975038288
-235.36328065153816,-250.2919828528555
-241.33614138535535,-221.22348623514898
-223.7358349000499,-190.76918384469235
-223.88850995429348,-242.14750470184407
-240.51445772025832,-210.25869021272817
-191.72252506133444,-247.96636030547234
-212.0974161777687,-222.52730487188668
-178.08600171077657,-212.53408366287567
-196.95131334899284,-177.44069666351743
-198.18124135303745,-225.87476775656887
-214.14655221755248,-230.34384700276846
-208.0964753714596,-233.27250314687365
-175.548454193176,-237.51995651368549
-226.86177931353748,-226.61528929501878
-198.97952177851263,-214.45611401388928
-230.799471991077,-168.2118447843077
-222.66834611983958,-201.55477840677185
-214.45459002175937,-222.26423018421082
-236.11667330940492,-189.27825867218775
-206.0746726891196,-220.7748046193188
-204.82185084333946,-192.67127045685612
-195.44077746726168,-185.5516890312724
-199.0793010438816,-224.153715931566
-235.63325386674722,-216.78228273828847
-227.0894226805778,-194.28813571251862
-196.2222214503008,-230.3346962631474
-224.58864038933984,-184.72856709428095
-209.19290883044354,-225.75200294598605
-225.79932525999607,-220.08405524902656
-251.1766606626191,-208.4325366900884
-198.1462273556895,-192.82736450512374
-208.30429886249408,-166.51307929293145
-204.696300292927,-208.5816613554509
-217.47436381611425,-217.30963331182363
-248.7122394543056,-248.6385966798525
-176.4983016810769,-177.62412228335663
-189.02259659110854,-211.47474140957323
-200.72917770051734,-179.28092851155318
-196.05980494357155,-219.62024407492035
-200.87620502184217,-234.49969340918028
-212.66987366518612,-202.63412889128685
-146.15999844233008,-231.05144180549982
-211.78755571946257,-240.48803300318247
-215.39420743605177,-221.66305243856252
-196.9722188765505,-198.05212592095708
-200.2028751404534,-243.98941224915993
-201.20309717116965,-245.35167823600452
-170.6119020571998,-195.42774791626368
-182.7530393782917,-190.4462888938619
-193.10359963756716,-191.85229581736516
-193.61193888504087,-154.8928438928068
-218.17617712383264,-196.09437580247697
-206.30872799108874,-225.73544386692186
-193.83807608775138,-238.9155756131173
-199.67108049649718,-231.04934233158627
-186.48458150391915,-171.8841876504353
-185.58443086189698,-214.78271790563824
-222.67800892563818,-186.37901045412372
-196.06619899401483,-183.25334662120898
-216.04332005332654,-203.61291507897297
-218.64635535932936,-177.12605953583878
-208.43812386299115,-157.21839959037095
-184.76986964322762,-206.35225861170733
-233.80278715609012,-180.9902560014226
-204.87489540210345,-166.06200628764174
-240.82927299189598,-204.90856472931273
-185.16461352725224,-227.07661576306583
-220.45627909668775,-187.06526433111242
-189.56896157883187,-213.64933694980286
-217.06531948576884,-189.57789547580398
-183.0538056075992,-206.4944337497334
-189.2060679637786,-205.80832903088094
-179.271758881915,-195.25265956956537
-213.31414424181722,-212.68917539521627
-177.4256344283643,-200.88276690064382
-203.454828535877,-181.29160857472465
-202.73317042135395,-227.43368232134787
-215.88554864779928,-225.57532814055506
-184.39686497285663,-204.34137473713886
-233.24464489617932,-207.79857788598824
-214.68970036891724,-196.99394500293056
-180.66708783643432,-226.8054968118824
-173.00030605079783,-204.7995431085589
-234.63060070555133,-182.45166350564241
-176.24787761090934,-198.9223535260625
-190.11285928942888,-160.41862003171593
-224.90862392778362,-216.57108270885894
-183.1300312103876,-186.1935487076239
-249.04573991224325,-196.43490182481102
-202.41080327218336,-202.3881941632134
-206.19298187632643,-197.62865344975484
-217.7128061858234,-167.74319271824663
-187.53452317729395,-212.77829305226618
-229.45177798997952,-251.05944388679916
-170.63330957532008,-202.66132045445977
-198.39639853166074,-190.81987135495476
-174.46020064330983,-191.58821266950812
-195.97776841518598,-261.04092647767357
-187.5800911699788,-210.37060802984172
-200.10669005789325,-170.70516477719187
-166.82059484577385,-190.8719358464088
-213.2571822158693,-196.00600112461845
-209.46941812956433,-182.6620243735271
-174.65065671998988,-179.01438481335325
-170.03100777440864,-197.81121293151327
-220.1584348297988,-210.90725678770124
-186.3319226362968,-227.37786352963613
-242.25083732119109,-199.09160160057436
-206.3392799471709,-202.28342114982263
-196.19587281173517,-179.70916441671818
-170.95371118024886,-170.48225616302963
-201.605291966047,-195.40504741117851
-225.33582688528807,-189.61745523251983
-164.30828013537388,-188.0463304297569
-205.94683797993986,-271.01819010247243
-198.43127396038867,-200.73841338962455
-175.25727984348376,-150.57786331868152
-208.22693912088107,-208.2832511411348
-165.08621177091428,-164.66211161998112
-188.93497201317516,-235.01017888915166
-178.02560463634944,-174.0624625687437
-190.50463344735485,-198.72337322605077
-175.95465813713093,-204.7191765795423
-203.38251219949416,-204.46459363574166
